topico,fecha,diario,seccion,freq
discurso-de-odio,2022-09-03,perfil,internacional,0
copitos,2022-09-03,ambito,economia,0
discurso-de-odio,2022-09-03,ambito,economia,0
copitos,2022-09-03,ambito,sociedad,0
discurso-de-odio,2022-09-03,ambito,sociedad,0
copitos,2022-09-03,ambito,finanzas,0
discurso-de-odio,2022-09-03,ambito,finanzas,0
copitos,2022-09-03,ambito,negocios,0
discurso-de-odio,2022-09-03,ambito,negocios,0
copitos,2022-09-03,todonoticias,musica,0
discurso-de-odio,2022-09-03,todonoticias,musica,0
copitos,2022-09-03,paginadoce,espectaculos,0
discurso-de-odio,2022-09-03,paginadoce,espectaculos,0
copitos,2022-09-03,eldestape,deportes,0
discurso-de-odio,2022-09-03,eldestape,deportes,2
copitos,2022-09-03,infobae,espectaculos,0
discurso-de-odio,2022-09-03,infobae,espectaculos,0
copitos,2022-09-03,ambito,lifestyle,0
discurso-de-odio,2022-09-03,ambito,lifestyle,0
copitos,2022-09-03,ambito,opinion,0
discurso-de-odio,2022-09-03,ambito,opinion,0
copitos,2022-09-03,infobae,cultura,0
discurso-de-odio,2022-09-03,infobae,cultura,0
copitos,2022-09-03,perfil,policiales,0
discurso-de-odio,2022-09-03,perfil,policiales,0
copitos,2022-09-03,infobae,salud,0
discurso-de-odio,2022-09-03,infobae,salud,0
copitos,2022-09-03,infobae,sociedad,0
discurso-de-odio,2022-09-03,infobae,sociedad,1
copitos,2022-09-03,infobae,opinion,0
discurso-de-odio,2022-09-03,infobae,opinion,2
copitos,2022-09-03,infobae,economia,0
discurso-de-odio,2022-09-03,infobae,economia,0
copitos,2022-09-03,infobae,politica,0
discurso-de-odio,2022-09-03,infobae,politica,11
copitos,2022-09-03,perfil,cultura,0
discurso-de-odio,2022-09-03,perfil,cultura,0
copitos,2022-09-03,paginadoce,economia,0
discurso-de-odio,2022-09-03,paginadoce,economia,1
copitos,2022-09-03,paginadoce,deportes,0
discurso-de-odio,2022-09-03,paginadoce,deportes,0
copitos,2022-09-03,infobae,tendencias,0
discurso-de-odio,2022-09-03,infobae,tendencias,0
copitos,2022-09-02,clarin,autos,0
discurso-de-odio,2022-09-02,clarin,autos,0
copitos,2022-09-03,todonoticias,deportes,0
discurso-de-odio,2022-09-03,todonoticias,deportes,0
copitos,2022-09-03,clarin,economia,0
discurso-de-odio,2022-09-03,clarin,economia,0
copitos,2022-09-03,clarin,rural,0
discurso-de-odio,2022-09-03,clarin,rural,0
copitos,2022-09-03,todonoticias,salud,0
discurso-de-odio,2022-09-03,todonoticias,salud,0
copitos,2022-09-03,todonoticias,politica,0
discurso-de-odio,2022-09-03,todonoticias,politica,4
copitos,2022-09-03,todonoticias,espectaculos,0
discurso-de-odio,2022-09-03,todonoticias,espectaculos,0
copitos,2022-09-03,todonoticias,opinion,0
discurso-de-odio,2022-09-03,todonoticias,opinion,3
copitos,2022-09-03,todonoticias,sociedad,0
discurso-de-odio,2022-09-03,todonoticias,sociedad,0
copitos,2022-09-03,todonoticias,tecno,0
discurso-de-odio,2022-09-03,todonoticias,tecno,0
copitos,2022-09-03,todonoticias,estilo,0
discurso-de-odio,2022-09-03,todonoticias,estilo,0
copitos,2022-09-03,clarin,espectaculos,0
discurso-de-odio,2022-09-03,clarin,espectaculos,0
copitos,2022-09-03,clarin,policiales,0
discurso-de-odio,2022-09-03,clarin,policiales,0
copitos,2022-09-03,infobae,deportes,0
discurso-de-odio,2022-09-03,infobae,deportes,0
copitos,2022-09-03,clarin,deportes,0
discurso-de-odio,2022-09-03,clarin,deportes,0
copitos,2022-09-03,eldestape,internacional,0
discurso-de-odio,2022-09-03,eldestape,internacional,0
copitos,2022-09-03,clarin,internacional,0
discurso-de-odio,2022-09-03,clarin,internacional,0
copitos,2022-09-03,todonoticias,economia,0
discurso-de-odio,2022-09-03,todonoticias,economia,0
copitos,2022-09-03,eldestape,sociedad,0
discurso-de-odio,2022-09-03,eldestape,sociedad,0
copitos,2022-09-03,ambito,deportes,0
discurso-de-odio,2022-09-03,ambito,deportes,0
copitos,2022-09-03,lanacion,economia,0
discurso-de-odio,2022-09-03,lanacion,economia,0
copitos,2022-09-03,lanacion,espectaculos,0
discurso-de-odio,2022-09-03,lanacion,espectaculos,0
copitos,2022-09-03,lanacion,autos,0
discurso-de-odio,2022-09-03,lanacion,autos,0
copitos,2022-09-03,lanacion,internacional,0
discurso-de-odio,2022-09-03,lanacion,internacional,0
copitos,2022-09-03,lanacion,sociedad,0
discurso-de-odio,2022-09-03,lanacion,sociedad,0
copitos,2022-09-03,lanacion,politica,0
discurso-de-odio,2022-09-03,lanacion,politica,10
copitos,2022-09-03,lanacion,seguridad,0
discurso-de-odio,2022-09-03,lanacion,seguridad,0
copitos,2022-09-03,ambito,internacional,0
discurso-de-odio,2022-09-03,ambito,internacional,0
copitos,2022-09-03,eldestape,economia,0
discurso-de-odio,2022-09-03,eldestape,economia,0
copitos,2022-09-03,eldestape,politica,0
discurso-de-odio,2022-09-03,eldestape,politica,19
copitos,2022-09-03,perfil,economia,0
discurso-de-odio,2022-09-03,perfil,economia,2
copitos,2022-09-03,lanacion,salud,0
discurso-de-odio,2022-09-03,lanacion,salud,0
copitos,2022-09-03,ambito,politica,0
discurso-de-odio,2022-09-03,ambito,politica,1
copitos,2022-09-03,eldestape,espectaculos,0
discurso-de-odio,2022-09-03,eldestape,espectaculos,0
copitos,2022-09-03,paginadoce,psicologia,0
discurso-de-odio,2022-09-03,paginadoce,psicologia,0
copitos,2022-09-03,todonoticias,internacional,0
discurso-de-odio,2022-09-03,todonoticias,internacional,0
copitos,2022-09-03,clarin,opinion,0
discurso-de-odio,2022-09-03,clarin,opinion,0
copitos,2022-09-03,clarin,tecnologia,0
discurso-de-odio,2022-09-03,clarin,tecnologia,0
copitos,2022-09-03,eldestape,cultura,0
discurso-de-odio,2022-09-03,eldestape,cultura,0
copitos,2022-09-03,clarin,sociedad,0
discurso-de-odio,2022-09-03,clarin,sociedad,0
copitos,2022-09-03,lanacion,cultura,0
discurso-de-odio,2022-09-03,lanacion,cultura,0
copitos,2022-09-03,todonoticias,policiales,0
discurso-de-odio,2022-09-03,todonoticias,policiales,0
copitos,2022-09-03,clarin,ciudades,0
discurso-de-odio,2022-09-03,clarin,ciudades,0
copitos,2022-09-03,paginadoce,soy,0
discurso-de-odio,2022-09-03,paginadoce,soy,1
copitos,2022-09-03,lanacion,opinion,0
discurso-de-odio,2022-09-03,lanacion,opinion,0
copitos,2022-09-03,perfil,salud,0
discurso-de-odio,2022-09-03,perfil,salud,0
copitos,2022-09-04,perfil,deportes,0
discurso-de-odio,2022-09-04,perfil,deportes,0
copitos,2022-09-03,paginadoce,internacional,0
discurso-de-odio,2022-09-03,paginadoce,internacional,2
copitos,2022-09-04,perfil,espectaculos,0
discurso-de-odio,2022-09-04,perfil,espectaculos,0
copitos,2022-09-04,perfil,politica,0
discurso-de-odio,2022-09-04,perfil,politica,4
copitos,2022-09-04,perfil,internacional,0
discurso-de-odio,2022-09-04,perfil,internacional,0
copitos,2022-09-04,paginadoce,sociedad,0
discurso-de-odio,2022-09-04,paginadoce,sociedad,3
copitos,2022-09-04,paginadoce,rosario12,0
discurso-de-odio,2022-09-04,paginadoce,rosario12,0
copitos,2022-09-04,paginadoce,economia,0
discurso-de-odio,2022-09-04,paginadoce,economia,0
copitos,2022-09-04,paginadoce,politica,0
discurso-de-odio,2022-09-04,paginadoce,politica,10
copitos,2022-09-03,clarin,cartas-al-pais,0
discurso-de-odio,2022-09-03,clarin,cartas-al-pais,0
copitos,2022-09-04,eldestape,deportes,0
discurso-de-odio,2022-09-04,eldestape,deportes,0
copitos,2022-09-04,eldestape,politica,0
discurso-de-odio,2022-09-04,eldestape,politica,4
copitos,2022-09-04,eldestape,internacional,0
discurso-de-odio,2022-09-04,eldestape,internacional,0
copitos,2022-09-04,eldestape,economia,0
discurso-de-odio,2022-09-04,eldestape,economia,0
copitos,2022-09-04,eldestape,sociedad,0
discurso-de-odio,2022-09-04,eldestape,sociedad,0
copitos,2022-09-04,infobae,internacional,0
discurso-de-odio,2022-09-04,infobae,internacional,0
copitos,2022-09-04,ambito,economia,0
